GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
-1416295539,SushiGo,3,GAME_OVER,81,0,3,43,Basic MCTS,58.0,38.0,37.0,groupG_rhea,rhea,1,Basic MCTS,1,2,2,3,groupG_rhea,3,rhea,groupG_rhea,Basic MCTS,rhea,1
-2020107165,SushiGo,3,GAME_OVER,81,0,3,44,Basic MCTS,43.0,35.0,54.0,groupG_rhea,rhea,2,Basic MCTS,2,3,3,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
233330232,SushiGo,3,GAME_OVER,81,0,3,45,Basic MCTS,35.0,37.0,42.0,groupG_rhea,rhea,3,Basic MCTS,3,2,2,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
-135857176,SushiGo,3,GAME_OVER,82,0,3,46,Basic MCTS,42.0,59.0,61.0,groupG_rhea,rhea,3,Basic MCTS,3,2,2,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
-1341119750,SushiGo,3,GAME_OVER,81,0,3,47,Basic MCTS,33.0,53.0,49.0,groupG_rhea,rhea,3,Basic MCTS,3,1,1,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,0
-911569817,SushiGo,3,GAME_OVER,83,0,3,48,Basic MCTS,42.0,41.0,52.0,groupG_rhea,rhea,2,Basic MCTS,2,3,3,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
1211493695,SushiGo,3,GAME_OVER,82,0,3,49,Basic MCTS,61.0,38.0,45.0,groupG_rhea,rhea,1,Basic MCTS,1,3,3,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,1
898318424,SushiGo,3,GAME_OVER,82,0,3,50,Basic MCTS,47.0,44.0,32.0,groupG_rhea,rhea,1,Basic MCTS,1,2,2,3,groupG_rhea,3,rhea,groupG_rhea,Basic MCTS,rhea,1
-942404556,SushiGo,3,GAME_OVER,81,0,3,51,Basic MCTS,50.0,28.0,47.0,groupG_rhea,rhea,1,Basic MCTS,1,3,3,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,1
1408301094,SushiGo,3,GAME_OVER,82,0,3,52,Basic MCTS,44.0,32.0,47.0,groupG_rhea,rhea,2,Basic MCTS,2,3,3,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
1146221834,SushiGo,3,GAME_OVER,83,0,3,53,Basic MCTS,26.0,39.0,47.0,groupG_rhea,rhea,3,Basic MCTS,3,2,2,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
-2025974710,SushiGo,3,GAME_OVER,82,0,3,54,Basic MCTS,34.0,45.0,45.0,groupG_rhea,rhea,3,Basic MCTS,3,1,1,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,-1
724435589,SushiGo,3,GAME_OVER,82,0,3,55,Basic MCTS,52.0,30.0,35.0,groupG_rhea,rhea,1,Basic MCTS,1,3,3,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,1
1539281127,SushiGo,3,GAME_OVER,82,0,3,56,Basic MCTS,39.0,40.0,56.0,groupG_rhea,rhea,3,Basic MCTS,3,2,2,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
-322431794,SushiGo,3,GAME_OVER,82,0,3,57,Basic MCTS,48.0,49.0,62.0,groupG_rhea,rhea,3,Basic MCTS,3,2,2,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
786982827,SushiGo,3,GAME_OVER,81,0,3,58,Basic MCTS,38.0,40.0,42.0,groupG_rhea,rhea,3,Basic MCTS,3,2,2,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
-1057547620,SushiGo,3,GAME_OVER,83,0,3,59,Basic MCTS,35.0,43.0,54.0,groupG_rhea,rhea,3,Basic MCTS,3,2,2,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
1661695482,SushiGo,3,GAME_OVER,83,0,3,60,Basic MCTS,30.0,50.0,43.0,groupG_rhea,rhea,3,Basic MCTS,3,1,1,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,0
-1521083090,SushiGo,3,GAME_OVER,81,0,3,61,Basic MCTS,42.0,25.0,43.0,groupG_rhea,rhea,2,Basic MCTS,2,3,3,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
-452679503,SushiGo,3,GAME_OVER,81,0,3,62,Basic MCTS,50.0,40.0,46.0,groupG_rhea,rhea,1,Basic MCTS,1,3,3,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,1
-1840133455,SushiGo,3,GAME_OVER,81,0,3,63,Basic MCTS,49.0,39.0,51.0,groupG_rhea,rhea,2,Basic MCTS,2,3,3,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
-2120383479,SushiGo,3,GAME_OVER,83,0,3,64,Basic MCTS,43.0,29.0,42.0,groupG_rhea,rhea,1,Basic MCTS,1,3,3,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,1
-2005252350,SushiGo,3,GAME_OVER,81,0,3,65,Basic MCTS,44.0,34.0,46.0,groupG_rhea,rhea,2,Basic MCTS,2,3,3,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
-1354525356,SushiGo,3,GAME_OVER,82,0,3,66,Basic MCTS,37.0,49.0,47.0,groupG_rhea,rhea,3,Basic MCTS,3,1,1,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,0
-235581204,SushiGo,3,GAME_OVER,82,0,3,67,Basic MCTS,45.0,34.0,49.0,groupG_rhea,rhea,2,Basic MCTS,2,3,3,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
565879714,SushiGo,3,GAME_OVER,84,0,3,68,Basic MCTS,48.0,33.0,42.0,rhea,groupG_rhea,1,Basic MCTS,1,3,3,2,rhea,2,groupG_rhea,rhea,Basic MCTS,groupG_rhea,1
2069148269,SushiGo,3,GAME_OVER,82,0,3,69,Basic MCTS,36.0,41.0,44.0,rhea,groupG_rhea,3,Basic MCTS,3,2,2,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
1545551564,SushiGo,3,GAME_OVER,82,0,3,70,Basic MCTS,45.0,38.0,45.0,rhea,groupG_rhea,1,Basic MCTS,1,3,3,2,rhea,2,groupG_rhea,rhea,Basic MCTS,groupG_rhea,1
-1441265338,SushiGo,3,GAME_OVER,84,0,3,71,Basic MCTS,44.0,41.0,35.0,rhea,groupG_rhea,1,Basic MCTS,1,2,2,3,rhea,3,groupG_rhea,rhea,Basic MCTS,groupG_rhea,1
-228548849,SushiGo,3,GAME_OVER,81,0,3,72,Basic MCTS,37.0,41.0,53.0,rhea,groupG_rhea,3,Basic MCTS,3,2,2,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
-1744502633,SushiGo,3,GAME_OVER,81,0,3,73,Basic MCTS,45.0,41.0,41.0,rhea,groupG_rhea,1,Basic MCTS,1,2,2,3,rhea,3,groupG_rhea,rhea,Basic MCTS,groupG_rhea,1
-1415041886,SushiGo,3,GAME_OVER,83,0,3,74,Basic MCTS,30.0,38.0,43.0,rhea,groupG_rhea,3,Basic MCTS,3,2,2,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
1949533456,SushiGo,3,GAME_OVER,82,0,3,75,Basic MCTS,45.0,38.0,39.0,rhea,groupG_rhea,1,Basic MCTS,1,3,3,2,rhea,2,groupG_rhea,rhea,Basic MCTS,groupG_rhea,1
-1371143192,SushiGo,3,GAME_OVER,85,0,3,76,Basic MCTS,50.0,38.0,45.0,rhea,groupG_rhea,1,Basic MCTS,1,3,3,2,rhea,2,groupG_rhea,rhea,Basic MCTS,groupG_rhea,1
1241578111,SushiGo,3,GAME_OVER,81,0,3,77,Basic MCTS,39.0,41.0,53.0,rhea,groupG_rhea,3,Basic MCTS,3,2,2,1,rhea,1,groupG_rhea,rhea,Basic MCTS,groupG_rhea,2
