GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1436161366,Connect4,3,GAME_OVER,8,1,2,56,1,RMHC,1,2,2,Basic MCTS,RMHC,1.0,-1.0,Basic MCTS,Basic MCTS,RMHC,1
-1151041315,Connect4,3,GAME_OVER,8,1,2,57,1,RMHC,1,2,2,Basic MCTS,RMHC,1.0,-1.0,Basic MCTS,Basic MCTS,RMHC,1
346665430,Connect4,5,GAME_OVER,11,0,2,58,2,RMHC,2,1,1,RandomPlayer,RMHC,-1.0,1.0,RandomPlayer,RandomPlayer,RMHC,0
879079583,Connect4,8,GAME_OVER,17,0,2,59,2,RMHC,2,1,1,RandomPlayer,RMHC,-1.0,1.0,RandomPlayer,RandomPlayer,RMHC,0
-619666105,Connect4,9,GAME_OVER,19,0,2,60,2,RMHC,2,1,1,RandomPlayer,RMHC,-1.0,1.0,RandomPlayer,RandomPlayer,RMHC,0
503938916,Connect4,11,GAME_OVER,23,0,2,61,2,RMHC,2,1,1,RandomPlayer,RMHC,-1.0,1.0,RandomPlayer,RandomPlayer,RMHC,0
-428737539,Connect4,6,GAME_OVER,14,1,2,62,1,RMHC,1,2,2,RandomPlayer,RMHC,1.0,-1.0,RandomPlayer,RandomPlayer,RMHC,1
-1745970416,Connect4,10,GAME_OVER,22,1,2,63,1,RMHC,1,2,2,RandomPlayer,RMHC,1.0,-1.0,RandomPlayer,RandomPlayer,RMHC,1
-1436161366,Connect4,3,GAME_OVER,7,0,2,64,2,RMHC,2,1,1,RandomPlayer,RMHC,-1.0,1.0,RandomPlayer,RandomPlayer,RMHC,0
-1151041315,Connect4,6,GAME_OVER,14,1,2,65,1,RMHC,1,2,2,RandomPlayer,RMHC,1.0,-1.0,RandomPlayer,RandomPlayer,RMHC,1
346665430,Connect4,4,GAME_OVER,9,0,2,66,2,RMHC,2,1,1,OSLA,RMHC,-1.0,1.0,OSLA,OSLA,RMHC,0
879079583,Connect4,5,GAME_OVER,11,0,2,67,2,RMHC,2,1,1,OSLA,RMHC,-1.0,1.0,OSLA,OSLA,RMHC,0
-619666105,Connect4,8,GAME_OVER,17,0,2,68,2,RMHC,2,1,1,OSLA,RMHC,-1.0,1.0,OSLA,OSLA,RMHC,0
503938916,Connect4,5,GAME_OVER,12,1,2,69,1,RMHC,1,2,2,OSLA,RMHC,1.0,-1.0,OSLA,OSLA,RMHC,1
-428737539,Connect4,7,GAME_OVER,15,0,2,70,2,RMHC,2,1,1,OSLA,RMHC,-1.0,1.0,OSLA,OSLA,RMHC,0
-1745970416,Connect4,5,GAME_OVER,12,1,2,71,1,RMHC,1,2,2,OSLA,RMHC,1.0,-1.0,OSLA,OSLA,RMHC,1
-1436161366,Connect4,12,GAME_OVER,25,0,2,72,2,RMHC,2,1,1,OSLA,RMHC,-1.0,1.0,OSLA,OSLA,RMHC,0
-1151041315,Connect4,10,GAME_OVER,22,1,2,73,1,RMHC,1,2,2,OSLA,RMHC,1.0,-1.0,OSLA,OSLA,RMHC,1
